insideTemperature;summary;outsideTemperature;date
25.31;Clear;15.99;15/09/2000
24.47;Clear;14.98;16/09/2000
23.37;Clear;13.58;17/09/2000
22.39;Clear;12.99;18/09/2000
21.38;Clear;14.07;19/09/2000
20.44;Clear;13.56;20/09/2000
18.45;Clear;11.27;21/09/2000
18.45;Clear;13.31;22/09/2000
16.77;Clear;16.77;23/09/2000
16.56;Clear;16.56;24/09/2000
16.05;Clear;16.05;25/09/2000
15.69;Clear;10.03;26/09/2000
15.57;Clear;15.57;27/09/2000
16.47;Clear;10.32;28/09/2000
17.0;Clear;17.0;29/09/2000
21.82;Clear;13.93;30/09/2000
24.84;Clear;16.86;01/10/2000
27.3;Clear;18.64;02/10/2000
29.77;Partly Cloudy;20.99;03/10/2000
31.5;Partly Cloudy;23.34;04/10/2000
32.88;Clear;25.04;05/10/2000
33.33;Partly Cloudy;26.44;06/10/2000
32.04;Clear;26.3;07/10/2000
30.37;Light Snow;27.39;08/10/2000
29.98;Light Snow;29.98;09/10/2000
29.91;Light Snow;29.91;10/10/2000
29.24;Light Snow;29.24;11/10/2000
27.59;Flurries;24.01;12/10/2000
26.76;Flurries;22.76;13/10/2000
24.96;Clear;19.18;14/10/2000
24.23;Partly Cloudy;12.7;15/10/2000
23.42;Partly Cloudy;11.47;16/10/2000
23.14;Clear;11.45;17/10/2000
22.47;Clear;10.22;18/10/2000
22.56;Clear;10.34;19/10/2000
22.62;Clear;9.66;20/10/2000
22.7;Clear;9.54;21/10/2000
21.83;Clear;9.1;22/10/2000
21.88;Clear;8.67;23/10/2000
22.17;Clear;8.73;24/10/2000
22.96;Partly Cloudy;8.58;25/10/2000
23.15;Partly Cloudy;8.68;26/10/2000
23.82;Partly Cloudy;9.48;27/10/2000
24.73;Clear;10.97;28/10/2000
24.29;Clear;10.49;29/10/2000
24.22;Clear;11.0;30/10/2000
22.88;Clear;10.55;31/10/2000
21.19;Clear;9.69;01/11/2000
19.58;Clear;8.7;02/11/2000
19.33;Clear;9.24;03/11/2000
18.11;Clear;8.87;04/11/2000
17.49;Clear;8.66;05/11/2000
17.48;Clear;10.16;06/11/2000
17.07;Clear;10.06;07/11/2000
15.42;Clear;8.42;08/11/2000
14.62;Clear;7.4;09/11/2000
14.72;Clear;6.69;10/11/2000
15.33;Clear;7.73;11/11/2000
16.0;Clear;10.12;12/11/2000
16.77;Clear;9.48;13/11/2000
17.16;Partly Cloudy;9.12;14/11/2000
17.66;Mostly Cloudy;9.67;15/11/2000
17.52;Clear;9.29;16/11/2000
18.36;Clear;9.58;17/11/2000
20.36;Clear;10.67;18/11/2000
22.81;Partly Cloudy;13.44;19/11/2000
24.53;Clear;14.65;20/11/2000
26.03;Clear;18.8;21/11/2000
27.76;Clear;18.93;22/11/2000
28.07;Clear;18.81;23/11/2000
27.69;Clear;20.05;24/11/2000
26.32;Clear;20.15;25/11/2000
24.13;Clear;18.22;26/11/2000
23.58;Clear;19.75;27/11/2000
22.19;Clear;17.78;28/11/2000
21.0;Clear;15.71;29/11/2000
21.04;Clear;21.04;30/11/2000
22.33;Clear;22.33;01/12/2000
22.38;Clear;16.17;02/12/2000
23.21;Partly Cloudy;23.21;03/12/2000
23.68;Clear;23.68;04/12/2000
23.68;Partly Cloudy;23.68;05/12/2000
22.61;Clear;22.61;06/12/2000
21.7;Clear;21.7;07/12/2000
22.75;Clear;22.75;08/12/2000
24.59;Overcast;24.59;09/12/2000
25.3;Clear;25.3;10/12/2000
26.91;Clear;26.91;11/12/2000
29.01;Clear;25.29;12/12/2000
32.69;Clear;32.69;13/12/2000
35.19;Partly Cloudy;35.19;14/12/2000
36.97;Partly Cloudy;36.97;15/12/2000
38.57;Clear;36.44;16/12/2000
38.82;Clear;38.82;17/12/2000
37.41;Clear;35.18;18/12/2000
35.97;Clear;31.94;19/12/2000
36.17;Partly Cloudy;32.28;20/12/2000
35.73;Partly Cloudy;32.07;21/12/2000
35.16;Clear;30.7;22/12/2000
34.83;Clear;31.45;23/12/2000
34.83;Clear;30.68;24/12/2000
34.23;Clear;30.25;25/12/2000
33.87;Clear;28.45;26/12/2000
33.8;Mostly Cloudy;28.06;27/12/2000
33.34;Clear;27.63;28/12/2000
33.4;Clear;27.25;29/12/2000
33.32;Drizzle;26.87;30/12/2000
33.82;Light Rain;28.29;31/12/2000
33.91;Light Rain;27.39;01/01/2001
33.87;Heavy Rain;28.34;02/01/2001
34.03;Heavy Rain;28.22;03/01/2001
34.62;Light Rain;29.64;04/01/2001
34.84;Light Rain;30.78;05/01/2001
35.66;Light Rain;31.48;06/01/2001
37.08;Drizzle;33.5;07/01/2001
36.84;Heavy Rain;34.13;08/01/2001
37.94;Clear;35.58;09/01/2001
38.84;Partly Cloudy;38.84;10/01/2001
38.56;Partly Cloudy;38.56;11/01/2001
36.64;Partly Cloudy;34.0;12/01/2001
36.55;Clear;31.79;13/01/2001
36.74;Partly Cloudy;31.58;14/01/2001
37.17;Clear;31.88;15/01/2001
37.51;Clear;31.09;16/01/2001
36.36;Clear;29.77;17/01/2001
